Approved loan,Duration (in months),Currency,Age,Number of family members ,Number of years at the current address,Employment Type ,Current years at job,Credit Registry Information,Monthly Installment of the loan,Other installments of other loans,Monthly Income ,Reference,Other debitors/guarantors,Number of existing credits at the bank,Collateral Type_Residential,Collateral Type_Commercial,Collateral Type_Land,Collateral Type_Deposits pledge,Collateral Type_Others,Savings_ALL,Current account_ALL,M,F,Married,Single,Widowed,Divorced,Separated,University,College/High school,Secondary/Less than high school,Elementary,Residential Status_Owner,Residential Status_Co-owner,Residential Status_Live with parents,Residential Status_Others,Residential Status_Rent,Consumer loan,Furniture loan,Loan for car purchase,Mortgage loan,Education loan,Reconstruction loan,Holidays loan ,Medical loan,Loan for energy efficence,Loan classification
1000000,60,0,51,3,20.91,6,19.25,2,25640.84,0,75000,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,48,0,52,4,30.58,7,7.83,2,26088.99,0,100500,1,0,1,0,0,0,0,0,130237.76,389.65,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500000,24,0,58,2,19.41,6,19.41,2,22590.84,0,80000,2,0,1,0,0,0,0,0,0,59838.84,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
750000,27,0,43,5,23.16,6,23,2,30062.32,0,111269,2,1,1,0,0,0,0,0,0,5765.96,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1500000,60,0,50,4,24.41,6,28.41,2,30207.95,0,82000,2,1,1,0,0,0,0,0,135790.32,2075.19,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
718985.93,36,0,51,3,20.16,6,17.16,4,24818.24,0,91913,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,36,0,49,4,26.66,6,22.66,3,15876.62,0,76239,2,1,1,0,0,0,0,0,0,1004.38,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,48,0,51,4,30.66,6,26.66,2,24156.72,500,80000,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
350000,24,0,52,4,31.5,6,25.5,2,15488.8,0,40900,2,0,1,0,0,0,0,0,0,1000.39,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
252639.63,36,0,43,4,20.91,6,22.91,2,15876.62,0,70555,2,1,1,0,0,0,0,0,0,20094.79,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
300000,36,0,49,4,20.08,6,23.83,3,9235.73,20120,92088,2,1,1,0,0,0,0,0,0,341.62,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
255353.85,24,0,57,3,21,6,33.25,2,17692.21,0,87000,1,0,1,0,0,0,0,0,250000,29531.31,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
270000,24,0,48,2,30.08,6,29.75,2,11942.24,0,60000,2,1,1,0,0,0,0,0,0,1080.1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,28,0,43,5,16.08,6,20.41,2,19841.35,800,82000,2,1,1,0,0,0,0,0,0,16292.46,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,48,0,42,4,5.58,6,20.83,2,24146.93,0,70000,2,1,1,0,0,0,0,0,0,3383.11,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1300000,60,0,55,3,22,6,34,2,26167.39,5000,130000,2,1,1,0,0,0,0,1,6031.29,1014.09,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
151726.15,20,0,58,4,34.08,6,27.08,2,10515.24,0,74369,2,0,1,0,0,0,0,0,0,1004.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500000,22,0,50,2,2.58,6,26.5,2,24534.79,0,83957,2,1,1,0,0,0,0,0,0,736.99,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
169809.93,24,0,51,4,22.83,6,18.83,3,11057.63,0,123793,2,0,1,0,0,0,0,0,672.01,50216.16,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100000,12,0,49,4,17.5,6,27.5,1,8553.33,0,46165,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
629112.67,36,0,56,3,55.83,6,24.25,2,21715.78,0,78270,1,1,2,0,0,0,0,0,0,20.34,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
360032.61,24,0,48,4,10.91,6,25.91,2,22115.27,0,97502,2,1,1,0,0,0,0,0,0,12672.14,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
700000,36,0,55,2,30.25,6,24.25,2,22780.67,0,66980,2,1,1,0,0,0,0,0,0,1003.47,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
300000,12,0,52,3,32.91,6,22.91,2,25751.03,0,68640,2,1,1,0,0,0,0,0,0,128.15,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1500000,60,0,42,3,4.75,6,21,2,30265.74,40548,200000,1,1,1,0,0,0,0,1,0,587.86,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
700000,48,0,53,4,16.33,6,14.08,2,17123.52,0,75046,2,1,1,0,0,0,0,0,0,601.15,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400000,36,0,46,3,19.08,6,15.83,2,12314.3,10833,55935,2,1,1,0,0,0,0,0,0,181.62,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
102394.22,24,0,43,3,17.5,6,23,2,8765.78,0,79502,2,0,1,0,0,0,0,0,0,891.439,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
450000,30,0,47,3,21.75,6,27.75,2,16420.5,0,55837,2,1,1,0,0,0,0,0,0,701.07,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
677487.83,36,0,50,4,32,6,27,2,24628.6,0,102708,2,1,1,0,0,0,0,0,0,62770.84,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,24,0,47,5,15.91,6,20.25,1,22819.45,0,105345,2,1,1,0,0,0,0,0,0,23812.37,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1170000,60,0,45,4,4.25,6,30.25,2,23456.79,0,112000,1,1,1,0,0,0,0,1,0,4300.96,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
300000,24,0,43,4,21.25,6,16.25,2,13284.88,4880,71080,2,0,2,0,0,0,0,0,1099.44,44517.91,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
200000,20,0,48,3,22.33,6,30.33,3,10530.04,0,72989,2,0,1,0,0,0,0,0,0,545.19,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219161.71,24,0,54,4,14.25,6,23.25,3,22872.38,0,101093,2,1,1,0,0,0,0,0,0,1001.85,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
200000,18,0,57,3,27.25,6,31.91,2,11628.26,4390,84019,2,0,1,0,0,0,0,0,101172.21,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1000000,36,0,47,3,22.25,6,15.33,2,30993.81,0,95429,1,1,1,0,0,0,0,0,0,648.32,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
700000,36,0,51,4,31.91,6,21.08,2,21550.03,0,71759,2,1,1,0,0,0,0,0,0,737.61,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1500000,60,0,49,3,28.41,6,32.41,2,30361.81,5000,112402,2,1,1,0,0,0,0,0,0,242.03,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
500000,18,0,48,2,1.5,6,20.5,2,29380.81,33000,150000,2,1,1,0,0,0,0,0,884.1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,48,0,48,4,14.5,6,12.33,2,12266.02,0,85000,2,1,1,0,0,0,0,0,0,861.97,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
954550.55,40,0,57,3,24.25,6,17.25,2,28434.88,0,75876,2,1,1,0,0,0,0,0,0,2355.48,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
341181.15,36,0,52,4,23.33,6,22.58,2,10802.7,0,57736,2,0,1,0,0,0,0,0,0,4486.72,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
300000,12,0,47,5,24.91,6,26.83,2,25751.03,0,127820,2,0,1,0,0,0,0,0,696.04,1019.99,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
101055.22,12,0,46,1,18.91,6,20.33,2,9447.24,0,48835,2,0,1,0,0,0,0,0,0,15073.91,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150000,12,0,59,3,16.83,6,39.91,3,12827.38,21055,134832,2,0,1,0,0,0,0,0,0,800.27,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400000,30,0,37,5,11.33,6,15.33,2,14963.14,0,101831,2,1,1,0,0,0,0,0,0,11560.84,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
360000,28,0,53,4,12.83,7,26.91,2,14285.77,0,70000,2,1,1,0,0,0,0,0,938.81,13109.93,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
380000,24,0,51,3,34.41,6,20.83,2,16979.15,0,86000,2,1,1,0,0,0,0,0,0,418.16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
270000,24,0,51,2,15.33,6,30.33,2,12065.5,0,80000,2,0,1,0,0,0,0,0,0,1064.32,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125572.69,12,0,55,2,20.25,6,15.25,1,12896.31,0,68995,2,0,1,0,0,0,0,0,312129.46,80182.59,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210000,14,0,57,4,30.83,6,23.83,2,15549.43,0,33902,2,0,1,0,0,0,0,0,0,153.97,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,36,0,43,5,20.91,6,20.91,2,15645.12,80640,210751,2,1,1,0,0,0,0,0,0,1015.47,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
90637.56,18,0,51,3,28.91,6,31.33,2,11538.11,0,81345,2,0,1,0,0,0,0,0,0,583.88,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
138366.38,24,0,38,3,31.25,6,15.08,3,10945.47,0,88783,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
130000,6,0,54,5,21.41,6,20.41,2,22009.84,0,50000,2,0,1,0,0,0,0,0,527395.15,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500000,36,0,53,3,19.75,6,30.5,2,15415.98,0,61239,2,1,1,0,0,0,0,0,2239.25,1003.8,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
400000,36,0,53,4,15.33,6,30.41,2,12397.5,0,83000,2,0,1,0,0,0,0,0,0,1087.34,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
600000,36,0,43,4,15.5,6,25.08,2,18499.38,0,92529,2,1,1,0,0,0,0,0,0,610.33,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
800000,48,0,48,3,23,6,20,2,19452.47,0,73335,2,1,1,0,0,0,0,0,0,40015.28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
800000,60,0,55,4,19.08,6,13,2,17451.12,0,115000,2,1,1,0,0,0,0,0,0,1099.02,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
700000,60,0,56,3,27.5,6,32.75,2,14460.98,0,35670,2,1,1,0,0,0,0,1,0,461110.3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
686987.06,48,0,47,7,20.33,6,18.83,2,17134.44,0,116949,2,1,1,0,0,0,0,0,0,36.02,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1131276.35,54,0,41,4,4.33,6,19.33,2,25248.16,0,79239,2,1,1,0,0,0,0,0,0,256.84,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
800000,60,0,56,4,40.08,6,25.58,2,16038.83,0,120000,1,1,1,0,0,0,0,0,0,29.29,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
750000,60,0,50,3,14.58,6,32,2,15036.4,0,98971,2,1,1,0,0,0,0,0,31410.22,1001.39,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
300000,24,0,54,1,14.91,6,15.41,2,13404.59,0,45000,2,0,1,0,0,0,0,0,0,293.77,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
490000,36,0,55,2,30.75,6,26.75,2,15085.02,0,50000,2,1,1,0,0,0,0,0,0,1002.79,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,22,0,53,4,32.33,6,31.33,4,24042.16,0,76513,1,1,1,0,0,0,0,0,223180.174,352.84,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
360000,36,0,53,3,10.5,6,30.25,2,11099.65,0,107734,2,1,1,0,0,0,0,0,0,3.59,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
200000,21,0,43,1,4.41,6,16.25,3,10038.29,0,41478,2,0,1,0,0,0,0,0,0,180354.08,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
230816.63,24,0,50,3,29.66,6,28.66,3,11409.72,1000,39071,2,1,1,0,0,0,0,0,1805.04,497.16,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
